tag,p0mode,method,weight,nUsed,p0,raw_c1,raw_c2,raw_c3,raw_c4
main_p0free_gamma,p0free,0,0,9000,-0.0442753,1.33499,49.9742
main_p0free_gamma,p0free,1,0,9000,0.0171508,1.31123,50.267,-0.529543
main_p0free_gamma,p0free,2,0,9000,-0.198328,1.35208,52.0405,-0.00443703,-2.95364
main_p0free_gamma,p0free,0,1,9000,-0.0106768,1.34172,49.8588
main_p0free_gamma,p0free,1,1,9000,0.0933367,1.30792,50.2473,-0.802595
main_p0free_gamma,p0free,2,1,9000,-0.355457,1.40212,52.8022,-0.00921411,-3.92401
main_p0free_neutron,p0free,0,0,6866,15.5147,1.1378,56.39
main_p0free_neutron,p0free,1,0,6866,0.962912,2.25484,55.0332,20.8674
main_p0free_neutron,p0free,2,0,6866,6.60555,0.336902,72.1124,0.0305704,-3.18393
main_p0free_neutron,p0free,0,1,6866,31.1581,0.980768,52.5619
main_p0free_neutron,p0free,1,1,6866,5.86732,2.60656,50.8909,34.4258
main_p0free_neutron,p0free,2,1,6866,17.6646,-0.0133736,68.845,0.039681,-2.92012
main_p0zero_gamma,p0zero,0,0,9000,0,1.32876,49.9289
main_p0zero_gamma,p0zero,1,0,9000,0,1.3146,50.2619,-0.495791
main_p0zero_gamma,p0zero,2,0,9000,0,1.28977,51.3287,0.00164457,-2.0719
main_p0zero_gamma,p0zero,0,1,9000,0,1.3407,49.8461
main_p0zero_gamma,p0zero,1,1,9000,0,1.32142,50.2606,-0.649608
main_p0zero_gamma,p0zero,2,1,9000,0,1.32416,51.5002,-0.0018221,-2.44712
main_p0zero_neutron,p0zero,0,0,6866,0,1.52556,60.8988
main_p0zero_neutron,p0zero,1,0,6866,0,2.31864,55.0184,21.9683
main_p0zero_neutron,p0zero,2,0,6866,0,0.657316,77.261,0.0172498,-3.98705
main_p0zero_neutron,p0zero,0,1,6866,0,1.48528,60.8567
main_p0zero_neutron,p0zero,1,1,6866,0,2.92827,50.8864,40.8426
main_p0zero_neutron,p0zero,2,1,6866,0,0.41141,81.1164,0.0222113,-4.70363
main_p0ridge_gamma,p0ridge,0,0,9000,-0.0440814,1.33496,49.974
main_p0ridge_gamma,p0ridge,1,0,9000,0.0170536,1.31125,50.267,-0.529352
main_p0ridge_gamma,p0ridge,2,0,9000,-0.196601,1.35154,52.0343,-0.00438407,-2.94596
main_p0ridge_gamma,p0ridge,0,1,9000,-0.0106575,1.34172,49.8588
main_p0ridge_gamma,p0ridge,1,1,9000,0.0931225,1.30795,50.2473,-0.802244
main_p0ridge_gamma,p0ridge,2,1,9000,-0.354104,1.40182,52.7972,-0.00918599,-3.91839
main_p0ridge_neutron,p0ridge,0,0,6866,15.4325,1.13985,56.4139
main_p0ridge_neutron,p0ridge,1,0,6866,0.938252,2.25647,55.0328,20.8956
main_p0ridge_neutron,p0ridge,2,0,6866,6.5486,0.339665,72.1568,0.0304556,-3.19085
main_p0ridge_neutron,p0ridge,0,1,6866,31.133,0.981175,52.5686
main_p0ridge_neutron,p0ridge,1,1,6866,5.84332,2.60787,50.8908,34.452
main_p0ridge_neutron,p0ridge,2,1,6866,17.6355,-0.0126745,68.8652,0.0396522,-2.92305
